yr,mnth,hr,holiday,weekday,workingday,temp,atemp,hum,windspeed,casual,registered,cnt,season_fall,season_springer,season_summer,season_winter,weather_Heavy Rain,weather_Light Snow,weather_Mist,hr_sin,hr_cos,mnth_sin,mnth_cos,weekday_sin,weekday_cos
0,1,0,0,6,0,0.22448979591836735,0.2879,0.81,0.0,3.0,13.0,16,False,True,False,False,False,False,False,0.0,1.0,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
0,1,1,0,6,0,0.20408163265306123,0.2727,0.8,0.0,8.0,32.0,40,False,True,False,False,False,False,False,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
0,1,2,0,6,0,0.20408163265306123,0.2727,0.63,0.0,5.0,27.0,32,False,True,False,False,False,False,False,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
0,1,3,0,6,0,0.22448979591836735,0.2879,0.75,0.0,3.0,10.0,13,False,True,False,False,False,False,False,0.7071067811865476,0.7071067811865476,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
0,1,4,0,6,0,0.22448979591836735,0.2879,0.75,0.0,0.0,1.0,1,False,True,False,False,False,False,False,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
0,1,5,0,6,0,0.22448979591836735,0.2576,0.75,0.10532502644880687,0.0,1.0,1,False,True,False,False,False,False,True,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
0,1,6,0,6,0,0.20408163265306123,0.2727,0.8,0.0,2.0,0.0,2,False,True,False,False,False,False,False,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
0,1,7,0,6,0,0.1836734693877551,0.2576,0.86,0.0,1.0,2.0,3,False,True,False,False,False,False,False,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
0,1,8,0,6,0,0.22448979591836735,0.2879,0.75,0.0,1.0,7.0,8,False,True,False,False,False,False,False,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
0,1,9,0,6,0,0.4897959183673469,0.3485,0.76,0.0,8.0,6.0,14,False,True,False,False,False,False,False,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
0,1,10,0,6,0,0.36734693877551017,0.3939,0.76,0.298224991183731,12.0,24.0,36,False,True,False,False,False,False,False,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
0,1,11,0,6,0,0.3469387755102041,0.4848,0.81,0.33337251675091106,26.0,30.0,56,False,True,False,False,False,False,False,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
0,1,13,0,6,0,0.4489795918367347,0.4545,0.72,0.3508875044081345,47.0,47.0,94,False,True,False,False,False,False,True,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
0,1,14,0,6,0,0.4489795918367347,0.4545,0.72,0.33337251675091106,35.0,71.0,106,False,True,False,False,False,False,True,-0.4999999999999997,-0.8660254037844388,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
0,1,15,0,6,0,0.42857142857142855,0.4394,0.77,0.3508875044081345,40.0,70.0,110,False,False,False,False,False,False,True,-0.7071067811865471,-0.7071067811865479,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
0,1,16,0,6,0,0.4081632653061224,0.4242,0.82,0.3508875044081345,41.0,52.0,93,False,True,False,False,False,False,True,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
0,1,17,0,6,0,0.42857142857142855,0.4394,0.82,0.33337251675091106,15.0,52.0,67,False,True,False,False,False,False,True,-0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
0,1,18,0,6,0,0.4897959183673469,0.4242,0.88,0.298224991183731,9.0,26.0,35,False,True,False,False,False,True,False,-1.0,-1.8369701987210297e-16,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
0,1,19,0,6,0,0.4081632653061224,0.4242,0.88,0.298224991183731,6.0,31.0,37,False,True,False,False,False,True,False,-0.9659258262890684,0.2588190451025203,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
0,1,20,0,6,0,0.3877551020408163,0.4091,0.87,0.298224991183731,11.0,25.0,36,False,True,False,False,False,False,True,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
0,1,21,0,6,0,0.3877551020408163,0.4091,0.87,0.22804749030210417,3.0,31.0,34,False,True,False,False,False,False,True,-0.7071067811865477,0.7071067811865474,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
0,1,22,0,6,0,0.3877551020408163,0.4091,0.94,0.2631950158692841,11.0,17.0,28,False,True,False,False,False,False,True,-0.5000000000000004,0.8660254037844384,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
0,1,23,0,6,0,0.4489795918367347,0.4545,0.88,0.3508875044081345,15.0,24.0,39,False,True,False,False,False,False,True,-0.25881904510252157,0.9659258262890681,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
0,1,0,0,0,0,0.4489795918367347,0.4545,0.88,0.3508875044081345,4.0,13.0,17,False,True,False,False,False,False,True,0.0,1.0,0.49999999999999994,0.8660254037844387,0.0,1.0
0,1,1,0,0,0,0.42857142857142855,0.4394,0.94,0.298224991183731,1.0,16.0,17,False,True,False,False,False,False,True,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387,0.0,1.0
0,1,2,0,0,0,0.4081632653061224,0.4242,1.0,0.33337251675091106,1.0,8.0,9,False,True,False,False,False,False,True,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387,0.0,1.0
0,1,3,0,0,0,0.4489795918367347,0.4545,0.94,0.22804749030210417,2.0,4.0,6,False,True,False,False,False,False,True,0.7071067811865476,0.7071067811865476,0.49999999999999994,0.8660254037844387,0.0,1.0
0,1,4,0,0,0,0.4489795918367347,0.4545,0.94,0.22804749030210417,2.0,1.0,3,False,True,False,False,False,False,True,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0.0,1.0
0,1,6,0,0,0,0.4081632653061224,0.4242,0.77,0.3508875044081345,0.0,2.0,2,False,True,False,False,False,True,False,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,0.0,1.0
0,1,7,0,0,0,0.3877551020408163,0.4091,0.76,0.22804749030210417,0.0,1.0,1,False,True,False,False,False,False,True,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,0.0,1.0
0,1,8,0,0,0,0.3877551020408163,0.4091,0.71,0.2631950158692841,0.0,8.0,8,False,True,False,False,False,True,False,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,0.0,1.0
0,1,9,0,0,0,0.36734693877551017,0.3939,0.76,0.2631950158692841,1.0,19.0,20,False,True,False,False,False,False,True,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387,0.0,1.0
0,1,10,0,0,0,0.3469387755102041,0.3485,0.81,0.2631950158692841,7.0,46.0,53,False,True,False,False,False,False,True,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387,0.0,1.0
0,1,11,0,0,0,0.3469387755102041,0.3333,0.71,0.298224991183731,16.0,54.0,70,False,True,False,False,False,False,True,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387,0.0,1.0
0,1,12,0,0,0,0.3469387755102041,0.3333,0.66,0.3508875044081345,20.0,73.0,93,False,True,False,False,False,False,True,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387,0.0,1.0
0,1,13,0,0,0,0.3469387755102041,0.3485,0.66,0.15786998942047725,11.0,64.0,75,False,True,False,False,False,False,True,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,0.8660254037844387,0.0,1.0
0,1,14,0,0,0,0.3469387755102041,0.3485,0.76,0.22804749030210417,4.0,55.0,59,False,True,False,False,False,True,False,-0.4999999999999997,-0.8660254037844388,0.49999999999999994,0.8660254037844387,0.0,1.0
0,1,15,0,0,0,0.326530612244898,0.3333,0.81,0.19301751498765723,19.0,55.0,74,False,True,False,False,False,True,False,-0.7071067811865471,-0.7071067811865479,0.49999999999999994,0.8660254037844387,0.0,1.0
0,1,16,0,0,0,0.326530612244898,0.3333,0.71,0.19301751498765723,9.0,67.0,76,False,True,False,False,False,True,False,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,0.8660254037844387,0.0,1.0
0,1,17,0,0,0,0.326530612244898,0.3333,0.57,0.22804749030210417,7.0,58.0,65,False,True,False,False,False,False,False,-0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,0.0,1.0
0,1,18,0,0,0,0.3469387755102041,0.3333,0.46,0.38603502997531447,10.0,43.0,53,False,True,False,False,False,False,True,-1.0,-1.8369701987210297e-16,0.49999999999999994,0.8660254037844387,0.0,1.0
0,1,19,0,0,0,0.30612244897959184,0.2879,0.42,0.5263900317385682,1.0,29.0,30,False,False,False,False,False,False,False,-0.9659258262890684,0.2588190451025203,0.49999999999999994,0.8660254037844387,0.0,1.0
0,1,20,0,0,0,0.2857142857142857,0.2727,0.39,0.42106500528976143,5.0,17.0,22,False,True,False,False,False,False,False,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0.0,1.0
0,1,21,0,0,0,0.2448979591836735,0.2273,0.44,0.38603502997531447,11.0,20.0,31,False,True,False,False,False,False,False,-0.7071067811865477,0.7071067811865474,0.49999999999999994,0.8660254037844387,0.0,1.0
0,1,22,0,0,0,0.22448979591836735,0.2121,0.44,0.3508875044081345,0.0,9.0,9,False,True,False,False,False,False,False,-0.5000000000000004,0.8660254037844384,0.49999999999999994,0.8660254037844387,0.0,1.0
0,1,23,0,0,0,0.20408163265306123,0.2273,0.47,0.19301751498765723,0.0,8.0,8,False,True,False,False,False,False,False,-0.25881904510252157,0.9659258262890681,0.49999999999999994,0.8660254037844387,0.0,1.0
0,1,0,0,1,1,0.20408163265306123,0.197,0.44,0.42106500528976143,0.0,5.0,5,False,True,False,False,False,False,False,0.0,1.0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
